电影中文名,电影外文名,导演中文名,导演外文名,主演中文名,主演外文名,评分,评分人数,简介,上映年份,国家,电影类型
肖申克的救赎,The Shawshank Redemption,弗兰克·德拉邦特,Frank Darabont,蒂姆·罗宾斯,,9.7,3034225,希望让人自由。,1994,美国,犯罪 剧情
霸王别姬,再见，我的妾,陈凯歌,Kaige Chen,张国荣,,9.6,2242764,风华绝代。,1993,中国大陆 中国香港,剧情 爱情 同性
阿甘正传,Forrest Gump,罗伯特·泽米吉斯,Robert Zemeckis,汤姆·汉克斯,,9.5,2260824,一部美国近现代史。,1994,美国,剧情 爱情
泰坦尼克号,Titanic,詹姆斯·卡梅隆,James Cameron,莱昂纳多·迪卡普里奥,,9.5,2300013,失去的才是永恒的。,1997,美国 墨西哥,剧情 爱情 灾难
千与千寻,千と千尋の神隠し,宫崎骏,Hayao Miyazaki,柊瑠美,,9.4,2349008,最好的宫崎骏，最好的久石让。,2001,日本,剧情 动画 奇幻
这个杀手不太冷,Léon,吕克·贝松,Luc Besson,让·雷诺,,9.4,2386834,怪蜀黍和小萝莉不得不说的故事。,1994,法国 美国,剧情 动作 犯罪
美丽人生,La vita è bella,罗伯托·贝尼尼,Roberto Benigni,罗伯托·贝尼尼,,9.5,1383532,最美的谎言。,1997,意大利,剧情 喜剧 爱情 战争
星际穿越,Interstellar,克里斯托弗·诺兰,Christopher Nolan,马修·麦康纳,,9.4,1965976,爱是一种力量，让我们超越时空感知它的存在。,2014,美国 英国 加拿大,剧情 科幻 冒险
盗梦空间,Inception,克里斯托弗·诺兰,Christopher Nolan,莱昂纳多·迪卡普里奥,,9.4,2163150,诺兰给了我们一场无法盗取的梦。,2010,美国 英国,剧情 科幻 悬疑 冒险
楚门的世界,The Truman Show,彼得·威尔,Peter Weir,金·凯瑞,,9.4,1819738,如果再也不能见到你，祝你早安，午安，晚安。,1998,美国,剧情 科幻
辛德勒的名单,Schindler's List,史蒂文·斯皮尔伯格,Steven Spielberg,连姆·尼森,,9.5,1170421,拯救一个人，就是拯救整个世界。,1993,美国,剧情 历史 战争
忠犬八公的故事,Hachi: A Dog's Tale,莱塞·霍尔斯道姆,Lasse Hallstr,理查·基尔,,9.4,1450457,永远都不能忘记你所爱的人。,2009,美国 英国,剧情
海上钢琴师,La leggenda del pianista sull'oceano,朱塞佩·托纳多雷,Giuseppe Tornatore,蒂姆·罗斯,,9.3,1748495,每个人都要走一条自己坚定了的路，就算是粉身碎骨。,1998,意大利,剧情 音乐
三傻大闹宝莱坞,3 Idiots,拉库马·希拉尼,Rajkumar Hirani,阿米尔·汗,,9.2,1939167,英俊版憨豆，高情商版谢耳朵。,2009,印度,剧情 喜剧 爱情 歌舞
放牛班的春天,Les choristes,克里斯托夫·巴拉蒂,Christophe Barratier,,,9.3,1373493,天籁一般的童声，是最接近上帝的存在。,2004,法国 瑞士 德国,剧情 音乐
机器人总动员,WALL·E,安德鲁·斯坦顿,Andrew Stanton,本·贝尔特,,9.3,1378125,小瓦力，大人生。,2008,美国,科幻 动画 冒险
疯狂动物城,Zootopia,拜伦·霍华德,Byron Howard,,,9.2,2055559,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,2016,美国,喜剧 动画 冒险
无间道,無間道,刘伟强 / 麦兆辉   主演: 刘德华,Andy Lau,刘德华,,9.3,1441427,香港电影史上永不过时的杰作。,2002,中国香港,剧情 犯罪 惊悚
控方证人,Witness for the Prosecution,比利·怀尔德,Billy Wilder,泰隆·鲍华,,9.6,618497,比利·怀德满分作品。,1957,美国,剧情 犯罪 悬疑
大话西游之大圣娶亲,西遊記大結局之仙履奇緣,刘镇伟,Jeffrey Lau,周星驰,,9.2,1598775,一生所爱。,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装
熔炉,도가니,黄东赫,Dong,孔侑,,9.4,972861,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,2011,韩国,剧情
教父,The Godfather,弗朗西斯·福特·科波拉,Francis Ford Coppola,马龙·白兰度,,9.3,1019359,千万不要记恨你的对手，这样会让你失去理智。,1972,美国,剧情 犯罪
触不可及,Intouchables,奥利维·那卡什,Olivier Nakache,,,9.3,1183772,满满温情的高雅喜剧。,2011,法国,剧情 喜剧
当幸福来敲门,The Pursuit of Happyness,加布里尔·穆奇诺,Gabriele Muccino,威尔·史密斯,,9.2,1583951,平民励志片。,2006,美国,剧情 传记 家庭
寻梦环游记,Coco,李·昂克里奇,Lee Unkrich,,,9.1,1785721,死亡不是真的逝去，遗忘才是永恒的消亡。,2017,美国,喜剧 动画 奇幻 音乐
